gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
ZNF17	451095	869	-24	4693752	1135491	0	4	0	0	50	29	49029470	0	0
CDK12	1409087	239	28	10187310	3021165	0	54	1	0	12	7	15112636	2.775558e-15	1.495788e-12
ZMYM3	728738	NaN	25	9627835	2710778	0	23	0	0	12	19	23305296	4.091291e-08	2.143609e-05
CTNNB1	305811	448	8	5444908	1578206	0	31	0	0	28	21	28758961	5.750807e-08	2.931668e-05
ZFHX3	122465	495	-11	25238647	7302365	0	42	4	0	3	5	9924600	1.690496e-06	8.391089e-04
ERF	790787	299	37	3613722	1228899	0	13	0	0	19	9	19072746	5.197616e-06	2.513781e-03
HLA-DRB1	1074109	595	29	1866214	536123	0	11	2	0	26	23	22883987	1.178493e-05	5.557182e-03
DHX30	843941	197	34	8202390	2539530	0	19	0	0	14	4	17798116	1.444863e-05	6.647073e-03
CASZ1	809310	433	27	12040875	3587451	0	18	4	0	15	10	18682573	2.874906e-05	1.291107e-02
NCOR1	954548	370	-18	17100475	4800782	0	21	6	0	44	36	50079337	6.071739e-05	2.663375e-02
COL11A1	37620	742	-20	13102418	3950380	0	32	5	0	50	58	61391435	7.231471e-05	3.100000e-02
SLC45A3	747509	281	33	3581613	1304793	0	10	2	0	14	13	15834602	8.180093e-05	3.428732e-02
NKX3-1	378220	544	16	1583071	492338	0	7	0	0	50	42	68052593	9.741469e-05	3.994426e-02
JAK1	269434	396	-5	8321096	2073463	0	21	2	0	47	24	54027771	1.027486e-04	4.123499e-02
CSNK2A1	671817	229	40	2841160	720020	0	6	0	0	50	29	62607685	2.029089e-04	7.973473e-02
CHD1	133125	595	15	12414507	2965704	0	18	4	0	50	39	53480945	3.428369e-04	1.319712e-01
BRCA2	221300	462	44	24095372	6148387	0	24	4	0	26	17	39829755	3.967103e-04	1.496550e-01
SMARCA1	278446	NaN	-7	7603022	1915837	0	12	0	0	17	13	19987366	4.167183e-04	1.541204e-01
CSMD3	9197	1295	-29	26425707	7049385	0	45	10	0	32	39	39325741	4.343459e-04	1.575506e-01
PIK3CA	401889	613	11	7680862	1913891	0	27	1	0	50	54	59677982	4.585086e-04	1.631772e-01
CLCNKB	886121	197	43	5121872	1550962	0	10	1	0	50	16	54933634	5.018721e-04	1.753021e-01
UCMA	246179	354	35	1029434	240331	0	7	0	0	50	20	51644894	5.760502e-04	1.975538e-01
HOXB13	727820	415	24	1902215	605206	0	6	0	0	50	32	80944843	5.911075e-04	1.990977e-01
TDG	1190703	281	40	2968623	735588	0	6	1	0	50	48	72818347	6.863769e-04	2.271305e-01
LILRB3	717623	458	-6	4385311	1297982	0	19	2	0	13	13	11971792	7.131787e-04	2.319306e-01
BRAF	305191	616	25	5398204	1522745	0	15	0	0	43	39	58858716	7.334560e-04	2.344821e-01
SORCS1	6116	881	-26	8731702	2480177	0	22	4	0	50	61	58101722	8.029181e-04	2.524107e-01
TMC8	527017	217	27	4918515	1622964	0	8	1	0	50	30	58582384	8.439613e-04	2.609639e-01
HCN1	80822	1235	-24	6103629	1786428	0	16	3	0	47	41	49941171	8.819955e-04	2.619303e-01
ZNF513	1244404	179	39	3624425	1156897	0	11	0	0	17	12	23141832	8.855696e-04	2.619303e-01
LRRK2	31336	994	12	18109476	4612020	0	24	3	0	50	27	62008317	8.914034e-04	2.619303e-01
NOX3	108543	628	13	4043788	1093652	0	9	0	0	50	27	58512328	9.070731e-04	2.619303e-01
NTM	9703	1115	-5	2710778	777427	0	11	0	0	50	62	64803746	9.165201e-04	2.619303e-01
EXT1	190467	586	18	5264903	1393336	0	10	1	0	50	28	42957950	1.305880e-03	3.660695e-01
SCN11A	276625	707	18	12680136	3304308	0	19	4	0	50	32	64172269	1.319729e-03	3.660695e-01
FILIP1	441614	325	19	8386287	2303091	0	14	3	0	50	17	51342291	1.372005e-03	3.750545e-01
UBLCP1	126518	284	33	2346876	563367	0	5	0	0	50	23	52632489	1.844991e-03	4.971459e-01
SH3GL2	28189	392	-31	2546341	638288	0	5	0	0	50	38	56723954	1.950631e-03	5.182084e-01
PRKRA	159623	482	29	2324497	594503	0	6	0	0	50	36	65435223	2.121577e-03	5.557943e-01
MOSPD3	1884430	247	60	1578206	546826	0	7	0	0	50	36	62802285	2.166767e-03	5.598570e-01
ZFAND1	158801	681	12	2096815	486500	0	4	0	0	50	32	50145501	2.251405e-03	5.738650e-01
OPALIN	799460	684	38	1056678	288981	0	3	0	0	50	20	57615222	2.282416e-03	5.740124e-01
SMAD2	108087	185	42	3334471	880565	0	7	1	0	50	36	55618626	2.364878e-03	5.869254e-01
RPL11	960799	225	28	1302847	334712	0	5	0	0	50	46	56233562	2.409203e-03	5.901608e-01
CAMK1D	326642	556	35	2869377	723912	0	7	0	0	35	21	39027030	2.501257e-03	6.010079e-01
CRX	881316	336	39	2013137	648991	0	6	0	0	50	27	61509168	2.517210e-03	6.010079e-01
CNOT1	660382	191	8	17328157	4684022	0	24	2	0	6	5	12580890	2.568752e-03	6.056475e-01
HLA-C	3244502	401	38	2550233	751156	0	8	0	0	50	27	42893732	2.624816e-03	6.112257e-01
FCN1	237562	489	35	2326443	636342	0	4	0	0	50	26	57556842	2.801991e-03	6.445263e-01
FOXL1	47545	445	10	2254441	775481	0	8	1	0	50	28	60769688	3.041899e-03	6.912808e-01
RPS3A	214920	335	26	1914864	475797	0	6	0	0	50	21	51700355	3.180473e-03	7.100794e-01
LCE2C	169158	818	24	767697	216006	0	5	0	0	50	26	55166181	3.199913e-03	7.100794e-01
CSNK1A1L	156140	631	31	2345903	613963	0	3	0	0	50	20	60794986	3.297742e-03	7.219404e-01
EPB41L3	57432	1036	-5	7623455	2161033	0	21	3	0	50	38	47923169	3.329913e-03	7.219404e-01
HIST1H2BG	390169	544	57	857213	263683	0	4	0	0	50	26	37888620	3.459562e-03	7.415256e-01
ARID4B	550877	297	22	9461452	2305037	0	10	2	0	44	26	55396782	3.674212e-03	7.735709e-01
UBR2	1007026	194	42	13107283	3227441	0	9	0	0	21	4	33348602	3.757770e-03	7.735709e-01
ZFP36L2	227876	208	47	3228414	1117977	0	6	3	0	18	9	19425945	3.780233e-03	7.735709e-01
CYFIP2	266925	1129	33	8980790	2350768	0	12	2	0	50	26	59316026	3.861560e-03	7.735709e-01
MBD6	1347795	303	44	6476288	2444176	0	12	1	0	50	60	80942897	3.887981e-03	7.735709e-01
GRIA1	67092	914	-3	6672834	1792266	0	20	3	0	50	48	52916605	3.896016e-03	7.735709e-01
COX8C	NaN	NaN	NaN	484554	172221	0	3	0	0	50	88	108529393	3.908538e-03	7.735709e-01
HIST1H2BF	394491	544	55	853321	264656	0	3	0	0	50	23	37648289	3.937165e-03	7.735709e-01
KMO	171933	382	-17	3545612	888349	0	10	1	0	38	22	40984706	4.175738e-03	8.119872e-01
FOXP4	461476	388	43	4742402	1407931	0	8	1	0	46	25	47531050	4.525829e-03	8.710835e-01
CYC1	2720766	211	27	2222332	708344	0	4	0	0	50	37	72061353	4.715249e-03	8.895914e-01
RGS6	101461	823	26	3498908	829969	0	6	0	0	50	21	55338402	4.787908e-03	8.895914e-01
GSK3B	467052	421	19	3040625	888349	0	6	0	0	50	29	43822947	4.794861e-03	8.895914e-01
KIRREL2	1060028	321	47	4876676	1623937	0	11	0	0	30	20	33327196	4.810642e-03	8.895914e-01
UTP3	262444	609	19	3286794	916566	0	4	0	0	50	21	57944096	5.356906e-03	9.788410e-01
PRPF38A	815523	448	26	2276820	569205	0	3	0	0	50	24	64139187	5.397066e-03	9.788410e-01
CUL3	255624	463	20	5524694	1384579	0	9	0	0	20	5	20433000	5.600489e-03	1
PPP4R4	204538	714	17	6479207	1673560	0	6	0	0	23	3	20893229	5.894033e-03	1
HIST1H4B	408919	685	43	679154	237412	0	4	0	0	50	28	46139660	6.093569e-03	1
CD5L	116471	778	28	2432500	673316	0	6	2	0	15	8	16410618	6.096157e-03	1
OR5AS1	4262	1044	-40	2198980	641207	0	9	0	0	50	72	65108295	6.304552e-03	1
VILL	318742	457	24	6049141	1671614	0	11	2	0	50	36	66900561	6.387866e-03	1
ZNF140	558706	834	17	3259550	797860	0	7	0	0	50	17	47922196	6.476857e-03	1
DEFB129	1010597	348	24	1280468	348334	0	4	0	0	50	23	59658522	6.556096e-03	1
MATR3	838943	177	35	6023843	1553881	0	8	0	0	14	4	16399915	6.685176e-03	1
LGALS13	1148741	322	25	1007055	259791	0	2	0	0	50	21	51882306	6.804756e-03	1
RFXAP	191525	731	-15	1863295	550718	0	4	0	0	50	48	64614011	6.939548e-03	1
INPPL1	744547	182	58	8687917	2652398	0	12	0	0	32	9	31560228	6.954878e-03	1
EMID1	854820	251	51	3076626	980784	0	6	0	0	50	30	57283429	7.035731e-03	1
BARX2	287214	440	-19	1922648	570178	0	5	1	0	30	24	32013646	7.091808e-03	1
FOXP1	99202	675	-1	5235713	1381660	0	6	1	0	50	45	56386323	7.135228e-03	1
RAB14	611254	365	27	1587936	385308	0	4	0	0	50	23	54848983	7.147946e-03	1
EEF1A1	716887	139	38	3218684	917539	0	5	1	0	50	36	57660953	7.551365e-03	1
C6	252021	888	-14	6704943	1681344	0	11	2	0	39	32	41294120	7.617347e-03	1
RBPMS2	803907	264	47	1474095	446607	0	4	0	0	50	32	54683573	7.658003e-03	1
INO80B	1069803	343	45	2396499	788130	0	5	0	0	50	29	54249615	7.703480e-03	1
HRAS	1970020	236	42	1503285	420336	0	6	1	0	50	38	55371484	7.756427e-03	1
FGFR1OP2	408842	320	24	1864268	450499	0	5	0	0	50	27	61385597	7.796007e-03	1
DAPK1	141078	494	26	9993683	2817808	0	10	2	0	31	10	34838265	7.853764e-03	1
MRGPRX3	631291	436	20	2144492	695695	0	5	0	0	50	26	67801559	8.020591e-03	1
MBD1	229269	262	51	4674292	1379714	0	6	1	0	50	36	52927308	8.063720e-03	1
ST8SIA4	24350	1122	36	2517151	687911	0	6	1	0	38	24	42877191	8.501049e-03	1
SP8	109058	730	11	3318903	1155924	0	5	1	0	50	41	71939728	8.712525e-03	1
TPT1	680643	296	78	1289225	289954	0	5	0	0	50	23	58740010	8.996062e-03	1
C11orf1	437513	221	22	1100463	256872	0	2	0	0	50	22	51001741	9.085856e-03	1
GIGYF2	325071	328	35	9509129	2400391	0	9	1	0	27	10	30515226	9.176467e-03	1
IDH1	260367	539	17	2980299	747264	0	8	0	0	42	27	54580435	9.345701e-03	1
HIST1H1A	408919	685	43	1432256	470932	0	4	0	0	50	28	46139660	9.453780e-03	1
FCRL2	113186	829	26	3595235	996352	0	7	1	0	50	22	53642463	9.604995e-03	1
ANKRD37	173409	422	20	1139383	308441	0	2	0	0	50	23	52477782	9.623811e-03	1
OR4P4	1295	1091	-20	2154222	583800	0	7	0	0	39	41	39734401	9.648736e-03	1
SDSL	444479	276	36	2257360	714182	0	5	0	0	44	26	51196341	9.656243e-03	1
RLIM	289586	NaN	13	4269524	1238629	0	8	0	0	42	26	40623723	9.807400e-03	1
ELMO1	63863	859	16	5318418	1301874	0	11	2	0	44	32	45359314	1.010207e-02	1
FAM111A	542222	686	9	4324012	1070300	0	7	2	0	50	53	64102213	1.039831e-02	1
SLC17A2	392745	685	34	3046463	897106	0	7	0	0	10	5	11977630	1.043795e-02	1
MYL6	2878044	171	40	1206520	290927	0	3	0	0	50	23	56646114	1.058228e-02	1
MSC	25834	905	6	1365119	459256	0	5	0	0	50	33	66883047	1.112794e-02	1
ZNF804A	18097	1171	4	8417423	2213575	0	15	2	0	50	35	54721520	1.117796e-02	1
C19orf53	767214	289	6	702506	202384	0	2	0	0	50	63	76125574	1.134257e-02	1
MIA2	314590	300	21	4628561	1165654	0	7	1	0	50	27	60865042	1.144069e-02	1
C9orf78	600401	187	44	2121140	517636	0	4	1	0	50	37	58543464	1.159819e-02	1
C6orf201	181759	353	22	1010947	258818	0	2	0	0	50	30	56732711	1.170408e-02	1
RBM4	1432488	187	46	2482123	749210	0	4	0	0	50	49	67086404	1.216274e-02	1
SP3	296444	376	27	5320364	1597666	0	6	0	0	18	5	21298970	1.236857e-02	1
ELOVL6	204465	522	23	1903188	472878	0	4	0	0	50	23	54029717	1.253985e-02	1
COX7A1	978272	326	6	581854	159572	0	3	0	0	50	24	41279525	1.264031e-02	1
NUFIP1	685617	360	32	3560207	894187	0	4	1	0	50	35	67656582	1.268115e-02	1
PPP1R14C	346933	439	30	1151059	337631	0	3	0	0	50	36	70010269	1.269803e-02	1
QRFPR	268761	809	-2	3013381	828023	0	7	1	0	50	36	53671653	1.283539e-02	1
RAMP2	1633092	190	33	1225007	357091	0	2	0	0	50	17	55677979	1.354332e-02	1
MYBPH	507603	453	31	3314038	994406	0	7	0	0	28	27	34738046	1.379995e-02	1
MGA	765304	256	41	21062531	6054979	0	12	1	0	19	7	25139401	1.404732e-02	1
ENPP5	62118	819	16	3347120	873754	0	6	0	0	15	4	15986390	1.416079e-02	1
MYEOV	558031	443	37	2054003	719047	0	4	1	0	50	43	70582393	1.433693e-02	1
PEX2	66156	757	2	2124059	567259	0	4	0	0	50	32	58792552	1.439389e-02	1
TMEM139	379894	399	14	1453662	469959	0	4	0	0	50	33	62561954	1.456997e-02	1
IL11RA	731413	298	51	2922892	927269	0	4	1	0	50	15	44444694	1.466655e-02	1
CHRNA3	495901	373	46	3915352	1058624	0	5	1	0	50	44	59749984	1.476439e-02	1
CTPS2	295447	NaN	30	4256875	1093652	0	5	0	0	15	11	20841660	1.483194e-02	1
ARSF	217524	NaN	-11	4130385	1161762	0	7	0	0	40	32	51003687	1.501727e-02	1
TMPRSS11D	210733	767	22	2960839	819266	0	6	0	0	50	20	61686254	1.502497e-02	1
C14orf178	429207	388	37	894187	244223	0	3	0	0	50	31	63894964	1.513690e-02	1
PCOLCE	1767777	242	60	3063004	976892	0	4	0	0	50	40	59872582	1.522668e-02	1
OR5A1	430021	507	-1	2105572	661640	0	9	2	0	6	6	5214307	1.528080e-02	1
HIST1H2AG	227588	622	29	857213	301630	0	2	0	0	50	34	47032874	1.528467e-02	1
KIAA2026	349735	317	26	14211638	4294822	0	11	1	0	24	10	34054027	1.538293e-02	1
SCNM1	1562281	184	33	1637559	461202	0	3	0	0	50	26	57298024	1.539603e-02	1
GEM	518471	543	24	2080274	567259	0	5	0	0	50	24	43304338	1.543627e-02	1
RNF19A	1009773	212	41	5872055	1580152	0	4	0	0	37	9	47160337	1.579406e-02	1
KRTAP4-9	NaN	NaN	NaN	1468257	379470	0	7	0	0	50	88	108736642	1.583759e-02	1
PSPC1	309425	481	34	3673075	1009001	0	5	0	0	15	4	16601326	1.629609e-02	1
ZFP37	492947	575	-4	4486503	1080030	0	7	0	0	24	13	32009754	1.642773e-02	1
DEK	467694	497	4	2790564	618828	0	7	0	0	18	10	19681844	1.652449e-02	1
TTK	150632	841	-2	6274877	1495501	0	6	0	0	28	13	31185623	1.652954e-02	1
VHL	825905	170	39	1455608	441742	0	4	1	0	50	21	47686730	1.661897e-02	1
NDST2	1009357	191	42	6042330	1838970	0	7	0	0	32	14	48521564	1.673804e-02	1
PROKR2	504598	489	14	2619316	760886	0	6	1	0	50	31	60660712	1.685228e-02	1
STAT4	529053	318	19	5472152	1352470	0	8	0	0	16	5	24136238	1.714411e-02	1
GPR55	1020678	519	45	2175628	626612	0	7	0	0	50	42	74461744	1.716429e-02	1
SCN5A	366751	578	25	14204827	4053518	0	27	6	0	23	19	27496007	1.719427e-02	1
IKBIP	488021	461	18	4400879	1145221	0	7	1	0	50	31	49783545	1.735903e-02	1
SSB	338901	489	35	3118465	711263	0	4	0	0	20	7	21910987	1.743113e-02	1
TIMM13	1604277	267	35	682073	181951	0	2	0	0	50	51	62331353	1.755988e-02	1
ATG5	181529	390	32	2024813	473851	0	4	0	0	50	37	63417221	1.757752e-02	1
CD74	949599	212	40	2173682	532231	0	3	0	0	50	27	65687230	1.763337e-02	1
TRA2A	432206	231	23	1966433	593530	0	3	0	0	50	18	49894467	1.772248e-02	1
C4orf51	221010	1168	26	1458527	377524	0	3	0	0	50	25	56215075	1.776201e-02	1
ROBO2	22183	1224	-17	9850652	2517151	0	22	4	0	38	44	43782081	1.817251e-02	1
CCL4	744143	565	28	661640	181951	0	2	0	0	50	35	65413817	1.820979e-02	1
KPNA1	413070	404	34	3854053	1017758	0	4	0	0	50	20	47828788	1.858881e-02	1
OR4D10	430021	507	-1	2071517	660667	0	5	0	0	50	29	58055018	1.883196e-02	1
LDB3	352918	192	27	5746538	1755292	0	6	1	0	50	28	68059404	1.905789e-02	1
DNER	253305	456	-3	5170522	1432256	0	9	1	0	30	14	37026542	1.917428e-02	1
CCT8L2	107592	852	-83	3662372	1224034	0	8	1	0	15	18	22708847	1.921301e-02	1
OR52D1	99343	946	-2	2114329	690830	0	6	0	0	50	35	59180779	1.940957e-02	1
CD1B	128145	833	4	2320605	662613	0	6	0	0	50	43	52195612	1.952674e-02	1
IBSP	423426	538	1	2294334	560448	0	5	0	0	50	47	68407738	1.955016e-02	1
ATF7IP	339265	882	12	8722945	2570666	0	12	3	0	39	33	37221142	1.955907e-02	1
DMWD	929036	203	43	4441745	1521772	0	8	2	0	50	22	61805933	1.970184e-02	1
TFF3	313101	464	90	665532	189735	0	3	0	0	50	35	46552212	1.976882e-02	1
ICAM4	1729517	200	31	2270982	417417	0	4	0	0	50	38	65650256	1.999709e-02	1
DDX50	897697	246	45	5200685	1425445	0	8	1	0	50	35	65911020	2.000604e-02	1
CWF19L1	1070791	198	40	3879351	998298	0	7	0	0	50	24	48767733	2.001653e-02	1
ZNF827	110708	1103	30	7502803	2094869	0	8	2	0	50	22	62305082	2.056140e-02	1
LMAN2	942017	227	53	2505475	702506	0	4	0	0	50	24	54199019	2.070417e-02	1
PI3	842540	324	25	821212	238385	0	3	0	0	50	23	62350813	2.084977e-02	1
CD38	174323	327	55	2166871	550718	0	3	1	0	50	18	49338884	2.086178e-02	1
GABRA6	12083	986	-6	3192413	876673	0	5	0	0	50	38	50871359	2.087647e-02	1
ACAA1	302137	411	32	2943325	906836	0	6	1	0	50	38	56845579	2.116364e-02	1
GNPNAT1	307859	213	26	1331064	347361	0	2	0	0	50	29	65229920	2.124321e-02	1
A1CF	113129	613	19	4460232	1255170	0	10	1	0	50	38	54989095	2.159189e-02	1
RSPO1	445248	274	29	1851619	506933	0	5	0	0	50	41	60383407	2.171896e-02	1
GCK	1321842	282	62	3514476	957432	0	8	0	0	50	32	45463425	2.183570e-02	1
TNFAIP6	216177	589	24	2010218	488446	0	5	1	0	50	40	62939478	2.187902e-02	1
ASH1L	1960625	247	33	20608140	5671617	0	16	3	0	50	33	59531059	2.206862e-02	1
MTTP	318764	787	11	6312824	1731940	0	9	1	0	50	29	59254727	2.213157e-02	1
GPS2	1911735	206	36	2369255	625639	0	7	0	0	50	45	60326000	2.253318e-02	1
CRYBB1	162003	462	-9	1765995	513744	0	5	1	0	16	12	15519350	2.258186e-02	1
MKRN1	359405	521	24	3414257	902944	0	4	0	0	50	33	75833674	2.261505e-02	1
KLK2	655673	589	25	1912918	541961	0	3	0	0	50	58	67355925	2.271136e-02	1
FASTKD1	358154	404	30	6027735	1555827	0	9	1	0	50	29	65768962	2.273486e-02	1
GATAD2B	1697153	161	36	4117736	1197763	0	6	2	0	13	9	16963282	2.286698e-02	1
DDI1	NaN	NaN	NaN	2670885	805644	0	8	1	0	30	26	43605968	2.307400e-02	1
DBH	765804	481	31	4296768	1249332	0	10	1	0	50	40	70449092	2.308468e-02	1
ZBTB20	86308	644	10	5055708	1477014	0	7	2	0	50	34	66175676	2.312987e-02	1
MAN2A1	181420	913	10	8158605	2113356	0	13	0	0	16	11	18405268	2.313359e-02	1
CHD7	248521	572	45	20973988	5699834	0	15	3	0	29	14	31868669	2.318435e-02	1
CALCR	197869	823	-10	3697400	923377	0	9	1	0	50	60	62712769	2.348463e-02	1
UGT2A3	NaN	NaN	NaN	3702265	985649	0	7	0	0	50	88	109342821	2.354581e-02	1
SLC47A1	558023	414	2	3985408	1207493	0	7	1	0	50	42	51797655	2.355241e-02	1
WDR31	408268	248	31	2639749	687911	0	4	1	0	50	30	56002961	2.381894e-02	1
SERPINB13	190401	339	20	2804186	710290	0	6	0	0	50	24	54568759	2.396460e-02	1
STAMBPL1	175317	289	20	3145709	797860	0	5	0	0	50	15	50726382	2.402365e-02	1
GNAZ	NaN	NaN	NaN	2435419	693749	0	6	1	0	30	26	43494073	2.413395e-02	1
CLEC1A	396940	445	-1	2018975	505960	0	5	1	0	45	24	49254233	2.415802e-02	1
KRT4	1781225	288	27	4108979	1194844	0	6	1	0	50	28	51568027	2.420044e-02	1
HTR2A	129425	885	34	3632209	997325	0	5	0	0	50	35	65344734	2.421170e-02	1
SERF2	784327	286	37	461202	93408	0	2	0	0	50	31	65219217	2.427029e-02	1
CDC42EP1	991778	176	51	2552179	892241	0	7	1	0	50	35	54952121	2.444220e-02	1
HSPA1L	2509866	183	32	4335688	1297982	0	5	0	0	22	6	29047942	2.459050e-02	1
PPP3R1	204289	594	23	1272684	283143	0	2	0	0	50	35	58760443	2.481108e-02	1
TBL1XR1	135357	433	0	3727563	945756	0	6	0	0	50	38	58803255	2.485496e-02	1
TMEM132E	222789	740	-3	6527857	2202872	0	9	3	0	50	32	60712281	2.489236e-02	1
ASXL1	780777	242	57	10479210	3175872	0	11	5	0	50	31	58445191	2.492721e-02	1
RGS2	307992	477	-15	1551935	357091	0	3	0	0	50	62	62787690	2.518991e-02	1
IL21	126588	388	2	1189006	296765	0	3	0	0	50	44	58479246	2.546721e-02	1
GBA3	103435	746	22	3312092	856240	0	6	1	0	50	73	131772417	2.566450e-02	1
MSGN1	135007	1245	10	1287279	408660	0	2	0	0	50	19	61765067	2.568126e-02	1
SMAD4	156084	422	41	3905622	1053759	0	9	0	0	50	35	67787937	2.591604e-02	1
AKT1	711772	247	36	3468745	895160	0	9	1	0	50	34	51466835	2.594915e-02	1
CA2	100997	1460	-18	1864268	491365	0	5	0	0	50	42	54854821	2.606792e-02	1
PATE2	607531	493	3	848456	190708	0	2	0	0	50	28	53871118	2.620265e-02	1
TNFRSF11B	179358	381	9	2864512	702506	0	6	2	0	46	28	48957468	2.621284e-02	1
EIF2AK3	118199	366	9	7831677	2136708	0	9	1	0	50	24	61530574	2.669131e-02	1
NDRG1	234084	322	0	2858674	775481	0	5	1	0	50	41	78200010	2.676294e-02	1
PRG3	923815	191	-3	1623937	419363	0	6	1	0	13	9	12284125	2.702308e-02	1
COLEC10	180181	380	2	1994650	504014	0	6	0	0	50	43	66296328	2.706134e-02	1
MYCT1	188249	600	-9	1594747	489419	0	4	1	0	24	23	29520820	2.709004e-02	1
AUTS2	52369	997	12	8955492	2705913	0	8	3	0	50	27	61354461	2.734438e-02	1
IFNA16	193208	498	-3	1312577	357091	0	3	0	0	50	28	50145501	2.747196e-02	1
DCDC1	84163	938	-25	2517151	673316	0	8	1	0	50	71	63916370	2.772226e-02	1
TRAT1	107009	961	-15	1376795	319144	0	6	0	0	50	61	61803987	2.783471e-02	1
IFFO1	2764720	179	42	3888108	1161762	0	7	0	0	50	34	70887915	2.817636e-02	1
CA8	206353	885	-14	2087085	554610	0	4	0	0	50	44	63384139	2.836330e-02	1
FCRL1	113186	829	26	3203116	871808	0	6	0	0	50	22	53642463	2.841425e-02	1
DMXL1	305800	381	28	21282429	5724159	0	15	0	0	1	0	6356609	2.843501e-02	1
BMP5	68578	483	-9	3207008	853321	0	7	0	0	50	46	67097107	2.858538e-02	1
ANKRD30B	NaN	NaN	NaN	10148390	2458771	0	19	2	0	50	90	110815943	2.861570e-02	1
CNGA3	228601	630	29	4796890	1370957	0	9	1	0	42	20	35104867	2.870034e-02	1
MYNN	400732	689	2	4334715	1097544	0	6	0	0	24	25	26091968	2.879571e-02	1
LCE1D	64902	818	18	800779	223790	0	3	0	0	50	46	56506002	2.886314e-02	1
C1orf159	2134483	234	21	1417661	418390	0	4	1	0	50	39	58543464	2.903621e-02	1
FAHD2B	515149	535	38	2199953	640234	0	3	0	0	50	49	61050885	2.903736e-02	1
SCAPER	393531	675	22	10114335	2615424	0	7	0	0	10	3	21397243	2.929947e-02	1
WDR48	226944	500	25	4892244	1261008	0	6	0	0	50	19	51204125	2.939947e-02	1
RNF139	472766	476	28	4529315	1305766	0	6	0	0	16	3	15027985	2.940396e-02	1
CNOT10	464002	493	28	5378744	1355389	0	4	0	0	20	2	22159102	2.950485e-02	1
RNF31	974559	220	41	7410368	2225251	0	11	0	0	4	1	6131846	2.983058e-02	1
MED12	759088	NaN	27	15298479	4288011	0	21	0	0	2	0	5712483	3.008680e-02	1
MBTPS1	522600	435	8	7412314	2054003	0	9	3	0	50	37	64807638	3.012814e-02	1
THSD4	312827	505	3	7145712	1970325	0	7	0	0	8	0	12717110	3.014855e-02	1
SMPDL3B	891090	272	20	3434690	975919	0	6	2	0	38	29	39735374	3.020339e-02	1
LMTK2	457962	375	19	10355639	2966677	0	10	1	0	33	13	40508909	3.020393e-02	1
